date,open,high,low,close,volume
2022-01-01,109.43,114.79,108.22,114.26,591710.869
2022-01-02,114.27,117.53,112,113.21,627814.479
2022-01-03,113.13,114.14,105.98,108.09,764544.685
2022-01-04,108.09,109.28,102.84,103.3,829313.049
2022-01-05,103.27,106.59,90.5,97.36,1237629.233
2022-01-06,97.37,98.01,91.01,95.14,1004534.468
2022-01-07,95.11,95.46,85.02,86.79,1606048.93
2022-01-08,86.85,89.58,79.2,83.91,1274164.761
2022-01-09,83.95,91.93,82.44,89.34,920003.465
2022-01-10,89.31,90.99,80.25,84.46,1245316.595
2022-01-11,84.47,91.04,83.23,89.66,802221.388
2022-01-12,89.66,96.99,88.84,96.02,927209.32
2022-01-13,95.99,97.29,89.14,89.76,790078.608
2022-01-14,89.7,91.77,87.25,90.41,702434.256
2022-01-15,90.43,94.4,89.53,93.08,490865.518
2022-01-16,93.08,94.96,91.86,92.34,427825.561
2022-01-17,92.34,92.64,85.39,86.68,696741.127
2022-01-18,86.72,87.45,83.63,86.02,591333.736
2022-01-19,86.03,86.45,81.12,82.64,573569.634
2022-01-20,82.61,87.89,78.71,79.35,722013.749
2022-01-21,79.3,80.3,64,66.07,2364057.938
2022-01-22,66.04,67.57,53,59.8,2945266.733
2022-01-23,59.85,66.9,59.08,64.85,1871335.365
2022-01-24,64.87,64.9,55.19,63.05,2080434.294
2022-01-25,63.1,70.6,61.71,68.08,1755746.119
2022-01-26,68.04,73.57,64.39,65.89,2216427.634
2022-01-27,65.92,67.99,61.18,64.73,1597967.115
2022-01-28,64.7,67.59,61.77,67.06,1093567.144
2022-01-29,67.06,73.59,66.92,71.95,1181319.712
2022-01-30,71.95,72.44,66.71,67.98,854687.276
2022-01-31,68,70.76,64.24,69.92,1292251.444
2022-02-01,69.93,73.9,68.58,73.37,1613042.956
2022-02-02,73.36,74.87,67.51,67.87,1511662.62
2022-02-03,67.89,69.23,65.03,68.49,1178312.539
2022-02-04,68.42,77.91,67.48,77.91,1394542.014
2022-02-05,77.87,80.99,75.02,77.09,1104644.042
