date,open,high,low,close,volume
2022-01-01,430.35,445.92,430.33,445.07,19486.08817465
2022-01-02,445.03,452.37,442.68,447.83,12498.08260005
2022-01-03,447.85,448,431.08,434.61,11092.36969617
2022-01-04,434.72,439.45,425.34,427.38,15085.4085812
2022-01-05,427.29,432.45,390.9,399.79,24531.81246033
2022-01-06,399.72,402.85,387.27,399.76,25303.53924127
2022-01-07,400.1,401.4,375.32,385.89,31320.07923374
2022-01-08,385.96,391.59,361.58,372.84,22160.27764143
2022-01-09,372.98,381.16,367.92,376.94,15945.8843024
2022-01-10,376.87,378.57,348,363.56,25866.12621872
2022-01-11,363.43,374.94,361.75,369.84,17391.6313924
2022-01-12,369.94,385.81,367.95,383.83,16559.53533969
2022-01-13,383.98,391.72,376.42,377.67,14375.08318769
2022-01-14,377.86,393.75,375.85,385.73,17555.03794432
2022-01-15,385.74,393.09,383.29,390.86,10773.86727814
2022-01-16,390.76,393.63,382.58,388.48,9408.21312206
2022-01-17,388.5,389.35,373.27,380.75,12956.10717298
2022-01-18,380.77,398.92,374.7,381.47,33391.59023657
2022-01-19,381.5,384.53,365.99,369.1,16592.79111894
2022-01-20,369.07,384.28,356.45,357.74,16935.55122867
2022-01-21,357.6,360.08,308.46,315.04,39759.79114304
2022-01-22,314.85,318.98,265.43,291.88,66391.60127886
2022-01-23,292.08,303.64,283.99,302.74,49587.50402906
2022-01-24,302.51,302.77,259.6,292.51,65303.99471894
2022-01-25,292.48,295.14,283.45,291.7,30930.27800336
2022-01-26,291.67,315.18,284.1,289.42,41824.86325418
2022-01-27,289.03,295.2,277.69,289.64,31575.44471592
2022-01-28,289.71,297.49,281.94,296.79,23275.25201287
2022-01-29,296.94,302.25,291.49,299.03,14406.81774958
2022-01-30,299.12,302.45,287.83,290.02,13931.23532845
2022-01-31,290.03,290.6,278.25,285.23,32050.73101592
2022-02-01,285.23,291.12,282.69,287.95,20612.14589036
2022-02-02,288.25,296.94,276.41,278,20414.05420291
2022-02-03,278.1,281.76,271.2,281.46,31381.46991961
2022-02-04,281.39,307.1,276.63,306.37,33536.71257099
2022-02-05,306.4,329.24,302.71,320.93,32288.11293038
2022-02-06,320.93,328.83,312.61,324.8,19416.72543676
2022-02-07,324.8,344.19,318.29,343.44,39984.52160116
2022-02-08,343.48,355.96,325.13,335.57,36096.42149844
2022-02-09,335.84,348,328.55,346.21,25994.25652331
2022-02-10,346.21,362.96,336.64,341.1,29430.75121564
2022-02-11,341.09,342.05,316.72,320.83,24886.47341003
2022-02-12,320.83,330.84,312.37,330.64,21271.60334019
2022-02-13,330.65,340.1,324.69,333.81,24108.80652941
2022-02-14,333.9,337.95,318.44,330.51,21887.82163227
2022-02-15,330.77,345.05,329.05,343.69,21137.48026906
2022-02-16,343.61,343.61,329.07,334.55,20719.65369038
2022-02-17,334.59,336.53,308.86,313.15,19434.14778494
2022-02-18,313.39,319.24,306.32,310.33,16107.3311614
2022-02-19,310.14,316.38,305.16,312.05,12607.69915659
2022-02-20,312.16,312.74,296.71,302.87,17400.5799283
2022-02-21,302.9,310.95,282.38,283.16,28163.33139612
2022-02-22,283.33,295.8,275.64,293.48,24985.16310573
2022-02-23,293.49,305.21,287.15,288.61,21470.31093753
2022-02-24,288.51,309.81,259.84,300.96,47317.71141827
2022-02-25,301.42,312.35,290.35,309.04,26382.56042338
2022-02-26,309.09,324.33,307.16,315.56,20749.643454
2022-02-27,315.61,321.54,299.34,304.12,17097.22765418
2022-02-28,304.02,339.27,300.7,339.27,26548.71554407
2022-03-01,339.1,343.99,320.49,328.79,27043.26538466
2022-03-02,328.78,331.51,318.05,320.3,15235.14243881
2022-03-03,320.15,322.01,305.65,315.29,21121.25757838
2022-03-04,315.14,315.62,285.78,290.61,19404.37835021
2022-03-05,290.6,295.58,283.53,294.47,11060.35320747
2022-03-06,294.31,296.26,281.28,282.11,11571.28362444
2022-03-07,282.11,291.09,270.01,273.86,28936.15418628
2022-03-08,273.84,289.71,272.34,284.46,25750.46707003
2022-03-09,284.59,318.45,283.67,307.25,35493.17521566
2022-03-10,307.34,309.01,283.55,289.53,29534.1463003
2022-03-11,289.53,295.08,281.23,287.73,27960.51795901
2022-03-12,287.57,294.26,287.3,290.9,16719.11788578
2022-03-13,290.69,296.02,278.04,279.78,18610.40816928
2022-03-14,279.65,290,277.06,289.43,22096.72783329
2022-03-15,289.49,292.87,281.72,289.46,22178.32847379
2022-03-16,289.62,302.38,286.41,299.91,32673.31948309
2022-03-17,299.95,301.22,294.51,296.28,14615.66078066
2022-03-18,296.41,306.74,290.64,305.71,21889.77283386
2022-03-19,305.66,328.81,305.66,328.01,29154.84556975
