date,open,high,low,close,volume
2022-01-01,46211.24,47967.12,46205,47733.43,9463.6617111
2022-01-02,47733.43,47990,46633.36,47299.07,6833.49845548
2022-01-03,47299.06,47583.33,45700,46459.56,10841.81020453
2022-01-04,46459.57,47532.89,45515,45814.61,16320.32712866
2022-01-05,45817.13,47076.55,42500,43436.04,25067.67476765
2022-01-06,43446.34,43794.5,42432.99,43083.76,20780.04784989
2022-01-07,43081.79,43144.72,40571.53,41565.18,26122.19990673
2022-01-08,41564.57,42318.97,40505.3,41684.84,15454.11315131
2022-01-09,41684.84,42831.12,41209.53,41876.52,11074.22498167
2022-01-10,41876.52,42250,39650,41824.07,25232.35739583
2022-01-11,41824.06,43130,41274.8,42753.44,19697.46613255
2022-01-12,42749.84,44342.83,42459.21,43920.37,16250.21469714
2022-01-13,43921.21,44453.22,42325,42581.65,14772.09478571
2022-01-14,42576.27,43473.98,41752,43090.72,13545.75086459
2022-01-15,43090.72,43819.39,42577.35,43098.2,6318.38550193
2022-01-16,43098.2,43497.24,42600,43104.34,6481.6580227
2022-01-17,43104.34,43200,41567.64,42218.01,10963.85191034
2022-01-18,42214.66,42692.71,41287.79,42369.74,13658.50365699
2022-01-19,42372.15,42586.03,41126,41674.27,15642.41727542
2022-01-20,41672.14,43511.99,40555,40670.97,17860.82318928
2022-01-21,40671.77,41127.79,35422,36456.94,50742.89616126
2022-01-22,36456.67,36835.93,34017.56,35066.43,30044.12486365
2022-01-23,35075.7,36555.55,34625,36282.47,17440.22740453
2022-01-24,36275.28,37574.63,32933.33,36693.32,38776.29020908
2022-01-25,36687.58,37579.81,35716.15,36980,21597.52201359
2022-01-26,36980,38960,36254.97,36840.63,27403.99125336
2022-01-27,36846.22,37249,35526.36,37188.37,23601.4620954
2022-01-28,37188.37,38023.74,36162.48,37741.9,22716.16494796
2022-01-29,37741.9,38748.43,37300,38191.1,13103.19076443
2022-01-30,38189.82,38384.07,37365.31,37901.35,10632.53591257
2022-01-31,37904.99,38785.04,36640.94,38491.93,19654.98487168
2022-02-01,38492.53,39300,38021.53,38716.88,16379.93141492
2022-02-02,38714.27,38888.88,36584.29,36923.39,13787.58718711
2022-02-03,36923.39,37450.75,36259.01,37329.91,13283.28624677
2022-02-04,37324.61,41788.81,37051.36,41614.64,22537.5582634
2022-02-05,41613.75,41970,40955.4,41404.85,11187.20118795
